,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
155559,0.31526,0.32291,0.27147,0.36001,0.81739,0.99729,0.85591,1.04271,0.16175,0.00452,0.2025,0.13294,33.84,0.0,0.0,1.0
159555,0.4533,0.50911,0.41481,0.55873,0.8874,0.97334,0.80538,1.02591,0.15615,0.02902,0.36414,0.23309,39.66,0.0,0.0,1.0
105422,0.48219,0.51149,0.44689,0.59303,0.98527,1.02305,0.93309,1.04477,0.1625,0.0003,0.10969,0.14398,31.11,0.0,0.0,1.0
182021,0.71069,0.67226,0.69211,0.71915,0.92388,0.9488,0.87229,0.96227,0.39893,0.01057,0.07913,0.0983,53.26,0.0,0.0,1.0
188417,0.59,0.51058,0.5553,0.61675,0.71795,0.72756,0.71091,0.73581,0.54418,0.143,0.30623,0.29684,79.85,0.0,0.0,1.0
6119,0.66904,0.67228,0.85216,1.01844,1.04767,1.0527,1.0422,1.05518,0.79953,0.15601,0.74152,0.49884,48.36,0.0,0.0,1.0
164520,0.84321,0.75993,0.81429,0.81934,0.82718,0.82851,0.8037,0.82336,0.61714,0.08686,0.08472,0.10429,70.48,0.0,0.0,1.0
160646,0.64734,0.57816,0.7225,0.74898,0.76203,0.76537,0.75283,0.76705,0.63391,0.1935,0.12663,0.14957,78.97,0.0,0.0,1.0
72981,0.50885,0.60256,0.5218,0.79812,0.98698,0.99173,0.98234,0.99749,0.73333,0.06565,0.94936,0.66322,56.97,1.0,0.0,0.0
20442,0.21837,0.31299,0.17991,0.39749,0.93609,0.98227,0.88509,1.01105,0.10974,0.00028,0.87043,0.46718,47.23,1.0,0.0,0.0
80257,0.22632,0.32125,0.18655,0.41789,0.95285,0.98101,0.90903,0.99889,0.20483,0.00034,0.75875,0.38325,34.82,1.0,0.0,0.0
184532,0.49927,0.42635,0.43412,0.43774,0.66998,0.6967,0.62722,0.7122,0.08362,0.00083,0.15042,0.16182,76.57,0.0,0.0,1.0
60712,0.33077,0.6301,0.43451,0.98238,0.99288,0.99712,0.97934,1.00136,0.65443,0.02353,0.95496,0.5907,42.07,1.0,0.0,0.0
