,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle,clear,thin,thick
63863,0.74342,0.60712,0.74598,0.67367,0.77247,0.87246,0.72651,0.94352,0.0212,0.00113,0.82983,0.61803,83.89,1.0,0.0,0.0
176074,0.89848,0.84736,0.87584,0.8668,0.91846,0.92212,0.86918,0.91117,0.53437,0.04732,0.08054,0.10089,42.11,0.0,0.0,1.0
28741,0.80321,0.77539,0.82746,0.84765,0.86052,0.87289,0.87437,0.89345,0.68333,0.12144,0.65205,0.48191,40.83,0.0,0.0,1.0
101632,0.34469,0.35867,0.31039,0.45588,0.91268,0.91793,0.9096,0.92382,0.67619,0.04407,0.21832,0.17466,65.74,0.0,0.0,1.0
84360,0.12886,0.10269,0.09352,0.09247,0.09267,0.08959,0.08566,0.08648,0.06405,0.00909,0.06363,0.05618,32.3,1.0,0.0,0.0
169304,0.69636,0.63657,0.6674,0.70405,0.75153,0.78156,0.72172,0.79807,0.42353,0.03989,0.11287,0.13392,75.16,0.0,0.0,1.0
8098,0.72361,0.68384,0.70715,0.73152,0.83897,0.87,0.80666,0.89115,0.42973,0.00973,0.58561,0.46988,60.13,0.0,0.0,1.0
74791,0.65701,0.66246,0.61789,0.57165,0.59721,0.64262,0.58816,0.64257,0.10099,0.00037,0.89191,0.86042,33.76,1.0,0.0,0.0
133309,0.69696,0.67835,0.67726,0.72228,0.97558,0.98765,0.92704,0.9891,0.5114,0.02041,0.04871,0.0626,39.09,0.0,0.0,1.0
108367,0.51955,0.45285,0.49156,0.61019,0.66137,0.66992,0.64852,0.67699,0.34583,0.00583,0.08988,0.09964,83.9,0.0,0.0,1.0
87358,0.32182,0.39854,0.29687,0.53563,0.92977,0.9653,0.89028,0.99021,0.16646,0.00073,0.92396,0.52739,68.54,1.0,0.0,0.0
8766,0.66182,0.68823,0.71034,0.60386,0.66723,0.73919,0.61256,0.77804,0.02686,0.00038,0.55924,0.39645,70.31,0.0,0.0,1.0
5989,0.56949,0.56207,0.58722,0.61853,0.71911,0.80925,0.746,0.94257,0.35576,0.0208,0.73984,0.53882,47.23,0.0,0.0,1.0
22321,0.30842,0.37812,0.25843,0.50243,1.05574,1.06076,1.05137,1.06469,0.79928,0.08681,0.73162,0.36373,44.67,0.0,1.0,0.0
198180,0.8089,0.76113,0.79273,0.80417,0.80827,0.80829,0.80128,0.80647,0.69884,0.19142,0.09803,0.12148,54.54,0.0,0.0,1.0
19430,0.43881,0.39877,0.39313,0.45575,0.61541,0.66149,0.5835,0.6896,0.25952,0.01665,0.43463,0.33086,76.06,0.0,0.0,1.0
58968,0.29977,0.40741,0.2695,0.54441,0.94641,0.97858,0.90162,0.99824,0.18748,0.00028,0.71022,0.34555,31.16,1.0,0.0,0.0
42825,0.44678,0.44302,0.39697,0.53705,0.75925,0.77408,0.73175,0.78513,0.22872,0.00072,0.53228,0.32812,70.23,0.0,0.0,1.0
28951,0.43463,0.3725,0.37239,0.43282,0.64884,0.6524,0.63754,0.65497,0.39125,0.02143,0.40849,0.32161,78.47,0.0,0.0,1.0
123449,0.48472,0.4253,0.45203,0.5332,0.75175,0.75711,0.75813,0.76341,0.68777,0.30374,0.18804,0.20704,81.37,0.0,0.0,1.0
184159,0.66139,0.58666,0.64306,0.67054,0.6821,0.68796,0.68624,0.6955,0.58315,0.24693,0.16767,0.19589,76.57,0.0,0.0,1.0
138355,0.67848,0.59259,0.6453,0.68139,0.70681,0.71724,0.69613,0.71998,0.59451,0.15014,0.10848,0.12994,79.62,0.0,0.0,1.0
170700,0.67991,0.64042,0.6785,0.66536,0.68896,0.70767,0.66693,0.72352,0.19414,0.00046,0.65216,0.53589,49.44,0.0,0.0,1.0
23388,0.26271,0.2768,0.19733,0.36193,0.69708,0.71105,0.67338,0.72226,0.25323,0.00291,0.63855,0.45982,75.54,0.0,1.0,0.0
62036,0.18977,0.17928,0.18416,0.18785,0.19217,0.1943,0.18144,0.17634,0.09438,0.002,0.14239,0.11338,36.89,1.0,0.0,0.0
6595,0.58249,0.57183,0.57653,0.64897,1.10985,1.11655,1.09736,1.12168,0.71888,0.06164,0.82441,0.49491,32.76,0.0,0.0,1.0
51583,0.19874,0.1804,0.1243,0.23824,0.7306,0.88593,0.74514,0.95127,0.02477,0.00095,0.43835,0.1525,83.85,1.0,0.0,0.0
190083,0.64033,0.56163,0.60142,0.62079,0.66584,0.69356,0.67882,0.69777,0.41331,0.01636,0.52973,0.45575,73.37,0.0,0.0,1.0
179140,0.41034,0.34862,0.36542,0.35439,0.37069,0.38381,0.35454,0.3921,0.09582,0.0006,0.14912,0.14806,76.82,0.0,0.0,1.0
127032,0.82392,0.78608,0.80669,0.85138,0.9779,0.97711,0.93693,0.96885,0.76326,0.19361,0.08846,0.10772,40.96,0.0,0.0,1.0
198643,0.71079,0.63029,0.67974,0.70288,0.72475,0.73686,0.71196,0.74099,0.60792,0.12949,0.09222,0.11247,77.23,0.0,0.0,1.0
129887,0.75886,0.72752,0.74378,0.78031,0.88832,0.9264,0.89186,0.93331,0.75787,0.29926,0.12301,0.14699,48.87,0.0,0.0,1.0
154768,0.6631,0.59447,0.6334,0.65486,0.73888,0.75492,0.718,0.76699,0.3904,0.01767,0.56756,0.47711,72.17,0.0,0.0,1.0
3303,0.24923,0.24194,0.28647,0.32037,0.3779,0.43316,0.4555,0.53775,0.13418,0.00052,0.86414,0.7837,64.99,1.0,0.0,0.0
163063,0.50808,0.5492,0.47367,0.66075,1.04419,1.04814,1.02772,1.05175,0.71804,0.16144,0.11686,0.13059,31.59,0.0,0.0,1.0
175350,0.67065,0.65857,0.67324,0.75325,1.01819,1.02599,1.00559,1.03182,0.61615,0.01922,0.33989,0.32382,46.84,0.0,0.0,1.0
40263,0.34512,0.27915,0.5024,0.52613,0.54253,0.54706,0.52456,0.54991,0.22758,0.00195,0.41782,0.25763,84.2,0.0,0.0,1.0
149047,0.3803,0.39374,0.35053,0.47665,0.95027,0.95687,0.93818,0.96375,0.64656,0.21555,0.22356,0.18458,59.36,0.0,0.0,1.0
49142,0.66727,0.62358,0.64911,0.67175,0.77251,0.82669,0.75256,0.85641,0.50883,0.09314,0.44492,0.28712,61.93,0.0,0.0,1.0
160252,0.47393,0.39587,0.42356,0.49037,0.69486,0.70463,0.68682,0.71302,0.42255,0.05753,0.16325,0.16531,82.45,0.0,0.0,1.0
83811,0.3235,0.37043,0.51125,0.56185,0.602,0.62235,0.60184,0.61859,0.31374,0.00199,0.51671,0.42762,63.56,1.0,0.0,0.0
37945,0.7716,0.75769,0.76231,0.79455,0.96107,1.03332,0.89405,1.07746,0.21654,0.00035,0.71817,0.51401,40.61,0.0,0.0,1.0
16889,0.68048,0.65821,0.68435,0.66679,0.68809,0.71224,0.66766,0.7205,0.21992,0.00044,0.64008,0.50604,31.79,0.0,0.0,1.0
