Ensemble_mean,Ensemble_index,NMSE,Mean_Quantile_Loss
False,0,0.019258900120677196,0.48431818659980136
False,1,0.019172899723400992,0.4829682399594022
False,2,0.019215103695073735,0.48469973916508335
False,3,0.01928091008455701,0.48365763941213946
False,4,0.019251270780863257,0.4838296955185717
True,,0.01816078378718984,0.4644553649489518
