,Cloud_B02,Cloud_B03,Cloud_B04,Cloud_B05,Cloud_B06,Cloud_B07,Cloud_B08,Cloud_B09,Cloud_B10,Cloud_B11,Cloud_B12,Cloud_B13,Sun_Zenith_Angle
80034,0.42946,0.43625,0.5184,0.55476,0.60293,0.64359,0.64825,0.69157,0.32776,0.0012,0.63043,0.409,45.69
120602,0.34594,0.36562,0.46633,0.5113,0.6694,0.78381,0.71919,0.88342,0.17266,0.01384,0.26257,0.20586,54.19
162328,0.78396,0.73481,0.77783,0.7959,0.86464,0.92885,0.88598,0.9294,0.57977,0.0692,0.10869,0.12866,57.95
110895,0.84188,0.79133,0.82402,0.83393,0.83472,0.83187,0.82577,0.8254,0.77855,0.18038,0.07185,0.09088,54.11
35024,0.48312,0.34275,0.37468,0.36606,0.39666,0.41839,0.37015,0.42934,0.04442,0.00134,0.30557,0.21419,84.91
140771,0.71809,0.66223,0.70135,0.71564,0.72556,0.72974,0.71998,0.73274,0.57446,0.11586,0.11052,0.1346,68.33
199083,0.8597,0.82334,0.85601,0.87216,0.91547,0.96058,0.89761,0.97724,0.75148,0.23645,0.09311,0.11626,39.71
72317,0.26207,0.28059,0.41472,0.46157,0.55926,0.64436,0.62439,0.72052,0.11088,0.00066,0.65263,0.4717,68.59
82622,0.52242,0.46973,0.66258,0.80998,0.90219,0.94157,0.94943,0.96748,0.76343,0.10833,0.8996,0.86143,83.57
73572,0.24281,0.28007,0.31614,0.39167,0.57607,0.64807,0.62564,0.71633,0.13431,0.00049,0.73192,0.51934,63.23
196623,0.67543,0.63957,0.66806,0.67289,0.68885,0.69831,0.67811,0.70683,0.45145,0.1221,0.11132,0.13682,39.14
185181,0.74397,0.67955,0.72739,0.7529,0.76639,0.77454,0.76758,0.78141,0.67691,0.23454,0.14215,0.16819,72.81
61983,0.21414,0.22309,0.30199,0.30591,0.37782,0.44984,0.41621,0.52196,0.02435,0.00034,0.62396,0.42512,60.94
158658,0.88827,0.84466,0.87277,0.88587,0.90122,0.90827,0.90114,0.91857,0.84535,0.29772,0.11622,0.14131,33.25
